metric,metric_label,k,representation_a,representation_a_name,representation_b,representation_b_name,n_pairs,wilcoxon_statistic,p_value_raw,mean_difference_A_minus_B,median_difference_A_minus_B,pct_A_lower,pct_B_lower,pct_tie,rank_biserial_A_minus_B,p_value_holm,significant_holm
local_R,Local R,10,bert_large_pt,BERT Large PT,bge_m3,BGE-M3,1942,852289.5,0.0004638282616334232,-0.021999310265932298,-0.03687201180140022,53.39855818743563,46.34397528321318,0.25746652935118436,-0.09183714243244237,0.0027829695698005394,True
local_R,Local R,10,bert_large_pt,BERT Large PT,tfidf,TF-IDF,1942,890844.0,0.06859925639632501,0.029370181564517452,0.012070159074363374,47.73429454170957,51.85375901132853,0.4119464469618949,0.04780869467625438,0.20579776918897502,False
local_R,Local R,10,qwen3,Qwen3,bge_m3,BGE-M3,1942,780365.0,1.681579609734775e-10,0.10015694170865605,0.05725121082180018,43.87229660144181,55.81874356333677,0.30895983522142123,0.1676177696616989,1.681579609734775e-09,True
local_R,Local R,10,qwen3,Qwen3,tfidf,TF-IDF,1942,705481.0,4.0241632043496785e-21,0.1515264335391058,0.09662821975619637,41.7610710607621,57.92996910401648,0.30895983522142123,0.24749335472337303,6.841077447394453e-20,True
local_R,Local R,10,bge_m3,BGE-M3,tfidf,TF-IDF,1942,810765.5,1.7624244424078083e-07,0.05136949183044976,0.04257425351866512,44.953656024716786,54.84037075180227,0.20597322348094746,0.13697441735576998,1.4099395539262467e-06,True
local_R,Local R,20,legalbr,LegalBR,e5_base,E5 Base,1942,555734.0,3.0408737737930662e-55,-0.19126926724957927,-0.19346948850054302,66.4778578784758,33.470648815653966,0.051493305870236865,-0.4102713890883005,5.473572792827519e-54,True
local_R,Local R,20,legalbr,LegalBR,minilm,MiniLM,1942,718133.0,8.101426835048719e-20,-0.14652397773230494,-0.10686923744697432,59.2173017507724,40.7826982492276,0.0,-0.23872275399874804,9.721712202058463e-19,True
local_R,Local R,20,legalbr,LegalBR,bert_large_pt,BERT Large PT,1942,900979.0,0.08662584113955886,0.02631481067383256,0.007351117516424366,49.279093717816686,50.72090628218332,0.0,0.04489166794317768,0.4331292056977943,False
local_R,Local R,20,legalbr,LegalBR,qwen3,Qwen3,1942,717637.0,6.731658064876275e-20,-0.1069925382912682,-0.11785689715757314,59.423274974253346,40.576725025746654,0.0,-0.23924855286054192,8.751155484339156e-19,True
local_R,Local R,20,legalbr,LegalBR,bge_m3,BGE-M3,1942,910681.5,0.19963616124989458,0.011115431778289567,-0.03514014222754941,53.295571575695156,46.6529351184346,0.051493305870236865,-0.03361151921965755,0.7985446449995783,False
local_R,Local R,20,legalbr,LegalBR,tfidf,TF-IDF,1942,925410.0,0.46848862855584483,-0.004910035759566085,-0.014718713006825535,51.44181256436663,48.558187435633364,0.0,-0.018992893764778154,1.0,False
local_R,Local R,20,e5_base,E5 Base,minilm,MiniLM,1942,748811.0,3.5317617455531332e-15,0.0447452895172743,0.09151068729877693,40.937178166838315,59.06282183316169,0.0,0.20620167036545672,2.8254093964425066e-14,True
local_R,Local R,20,e5_base,E5 Base,bert_large_pt,BERT Large PT,1942,486546.0,2.865512398190515e-76,0.2175840779234118,0.20786304190569294,29.660144181256438,70.33985581874357,0.0,0.4842231189307202,5.73102479638103e-75,True
local_R,Local R,20,e5_base,E5 Base,qwen3,Qwen3,1942,707773.0,1.5576915687349142e-21,0.08427672895831104,0.09569587700870019,39.8043254376931,60.1956745623069,0.0,0.24970516570879753,2.1807681962288798e-20,True
local_R,Local R,20,e5_base,E5 Base,bge_m3,BGE-M3,1942,468036.0,2.0255957131228217e-82,0.20238469902786882,0.16409961355298647,30.535530381050464,69.46446961894954,0.0,0.5038451691964553,4.253750997557926e-81,True
local_R,Local R,20,e5_base,E5 Base,tfidf,TF-IDF,1942,550813.0,1.3003839392975447e-56,0.18635923149001313,0.18630204431708985,33.36766220391349,66.58084449021628,0.051493305870236865,0.41549340986496075,2.470729484665335e-55,True
local_R,Local R,20,minilm,MiniLM,bert_large_pt,BERT Large PT,1942,677368.0,5.245025224257835e-27,0.1728387884061375,0.10618846418700523,38.61997940267765,61.38002059732235,0.0,0.2819368479524322,8.392040358812536e-26,True
local_R,Local R,20,minilm,MiniLM,qwen3,Qwen3,1942,941656.0,0.9774028194777122,0.039531439441036736,-0.0021770336875805707,50.15447991761071,49.794026776519054,0.051493305870236865,-0.0007422888708136155,1.0,False
