representation_id,representation_name,n_decisions,k,R_k,MAE_days,MAE_baseline_days,MAE_reduction_vs_baseline_pct,global_variance,mean_local_variance
minilm,MiniLM,1942,5,0.8299636381451214,125.77723995880535,122.01390319258496,-3.084350772944622,28978.077077948456,24050.750278063853
minilm,MiniLM,1942,10,0.9386243090423487,119.44402677651905,122.01390319258496,2.106216053108023,28978.077077948456,27199.52757466529
minilm,MiniLM,1942,20,1.0337370361752318,117.30100411946447,122.01390319258496,3.862591843883334,28978.077077948456,29955.71151261586
minilm,MiniLM,1942,30,1.0528037798340395,117.10652248541021,122.01390319258496,4.021984854815286,28978.077077948456,30508.229079986268
minilm,MiniLM,1942,50,1.0623356285252534,116.6714727085479,122.01390319258496,4.378542399061402,28978.077077948456,30784.44372605561
minilm,MiniLM,1942,70,1.0734704238978106,117.11086508753861,122.01390319258496,4.018425750471621,28978.077077948456,31107.10868460876
minilm,MiniLM,1942,100,1.0841990983029637,117.98589598352214,122.01390319258496,3.3012690387464017,28978.077077948456,31418.005038465504
minilm,MiniLM,1942,120,1.0854357289164391,118.01115688293856,122.01390319258496,3.2805657428469637,28978.077077948456,31453.840215699736
minilm,MiniLM,1942,150,1.0859003185480676,118.60723995880537,122.01390319258496,2.7920287316786863,28978.077077948456,31467.303129854678
bert_large_pt,BERT Large PT,1942,3,0.5204281714833778,122.7399588053553,122.01390319258496,-0.5950597380893097,28978.077077948456,15081.007666781095
bert_large_pt,BERT Large PT,1942,5,0.6763298405380292,118.5801235839341,122.01390319258496,2.8142527357976843,28978.077077948456,19598.738249227605
bert_large_pt,BERT Large PT,1942,10,0.7880330250709107,115.34974253347066,122.01390319258496,5.461804339293764,28978.077077948456,22835.681740473738
bert_large_pt,BERT Large PT,1942,20,0.8608982477690945,113.75700308959834,122.01390319258496,6.767179712261195,28978.077077948456,24947.175780123584
bert_large_pt,BERT Large PT,1942,30,0.8880147430100062,113.07480260899416,122.01390319258496,7.326296716761416,28978.077077948456,25732.959669298547
bert_large_pt,BERT Large PT,1942,50,0.91193748961967,112.80188465499485,122.01390319258496,7.549974467294929,28978.077077948456,26426.194864469617
bert_large_pt,BERT Large PT,1942,70,0.9341454589539412,113.2763425040459,122.01390319258496,7.161118905234776,28978.077077948456,27069.73911158284
bert_large_pt,BERT Large PT,1942,100,0.9520170510682141,114.34470648815653,122.01390319258496,6.285510506391622,28978.077077948456,27587.623485375898
bert_large_pt,BERT Large PT,1942,120,0.9590553831244653,114.95441555097838,122.01390319258496,5.785805926119735,28978.077077948456,27791.58081420214
bert_large_pt,BERT Large PT,1942,150,0.9733495810009568,115.69427737727429,122.01390319258496,5.1794309090627655,28978.077077948456,28205.79918203456
qwen3,Qwen3,1942,3,0.6313413361469649,126.59200137315482,122.01390319258496,-3.752111899365973,28978.077077948456,18295.057901361713
qwen3,Qwen3,1942,5,0.7925379893055194,119.36158599382081,122.01390319258496,2.1737827652130504,28978.077077948456,22966.22694129763
qwen3,Qwen3,1942,10,0.9101892770454991,115.03398558187438,122.01390319258496,5.720592021135151,28978.077077948456,26375.535025746656
qwen3,Qwen3,1942,20,0.9942055967341951,113.05561277033985,122.01390319258496,7.342024300382787,28978.077077948456,28810.166413491246
qwen3,Qwen3,1942,30,1.0232898577111413,112.71047030552695,122.01390319258496,7.624895723869763,28978.077077948456,29652.97236983637
qwen3,Qwen3,1942,50,1.0215121312416602,112.2818228630278,122.01390319258496,7.976206051040091,28978.077077948456,29601.45727518023
qwen3,Qwen3,1942,70,1.0194445220106787,112.71568338973077,122.01390319258496,7.620623190930964,28978.077077948456,29541.54193551777
